match_id,home_team,away_team,st_home,goals_home,corners_home,st_away,goals_away,corners_away,st_avg,corners_avg,goals_avg,st_kpp,corner_kpp,goals_kpp,which_team,st_kpp_home,st_kpp_away,goals_kpp_home,goals_kpp_away,corner_kpp_home,corner_kpp_away,modified_result,final_result,home_kpp_score,away_kpp_score,normalized_home_kpp_score,normalized_away_kpp_score
0,Arsenal,Crystal Palace,0.75,0.666666667,0.75,0.25,0.333333333,0.25,0.75,0.75,0.666666667,0.75,0.75,0.66,Arsenal,0.75,0.25,0.66,0.333333333,0.75,0.25,1,1,2.16,0.833333333,0.721603563554744,0.278396436445256
1,Leicester,Everton,0.5,0.5,0.333333333,0.5,0.5,0.666666667,0.5,0.666666667,0.5,0.5,0.666666667,0.5,Everton,0.5,0.5,0.5,0.5,0.33,0.666666667,0,0,1.33,1.666666667,0.443826473810475,0.556173526189525
2,Man United,Swansea,0.555555556,0.333333333,1,0.444444444,0.666666667,0,0.444444444,0,0.666666667,0.444444444,0,0.666666667,Swansea,0.555555556,0.444444444,0.333333333,0.666666667,1,0,0,-1,1.888888889,1.111111111,0.629629629666667,0.370370370333333
3,QPR,Hull,0.6,0,0.470588235,0.4,1,0.529411765,0.6,0.470588235,0,0.6,0.470588235,0,QPR,0.6,0.4,0,1,0.470588235,0.529411765,0,-1,1.070588235,1.929411765,0.356862745,0.643137255
4,Stoke,Aston Villa,0.5,0,0.2,0.5,1,0.8,0.5,0.8,1,0.5,0.8,1,Aston Villa,0.5,0.5,0,1,0.2,0.8,0,-1,0.7,2.3,0.233333333333333,0.766666666666667
5,West Brom,Sunderland,0.714285714,0.5,0.666666667,0.285714286,0.5,0.333333333,0.714285714,0.666666667,0.5,0.714285714,0.666666667,0.5,West Brom,0.714285714,0.285714286,0.5,0.5,0.666666667,0.333333333,0,0,1.880952381,1.119047619,0.626984127,0.373015873
6,West Ham,Tottenham,0.5,0,0.615384615,0.5,1,0.384615385,0.5,0.384615385,1,0.5,0.384615385,1,Tottenham,0.5,0.5,0,1,0.615384615,0.384615385,0,-1,1.115384615,1.884615385,0.371794871666667,0.628205128333333
7,Liverpool,Southampton,0.454545455,0.666666667,0.25,0.545454546,0.333333333,0.75,0.454545455,0.25,0.666666667,0.191666667,0.355555556,0.111111111,Liverpool,0.191666667,0.545454546,0.111111111,0.333333333,0.355555556,0.75,1,1,0.658333334,1.628787879,0.287843657020901,0.712156342979099
8,Newcastle,Man City,0,0,0.5,1,1,0.5,1,0.5,1,1,0.5,1,Man City,0,1,0,1,0.5,0.5,0,-1,0.5,2.5,0.166666666666667,0.833333333333333
9,Burnley,Chelsea,0.4,0.25,0.571428571,0.6,0.75,0.428571429,0.6,0.428571429,0.75,0.6,0.428571429,0.75,Chelsea,0.4,0.6,0.25,0.75,0.571428571,0.428571429,0,-1,1.221428571,1.778571429,0.407142857,0.592857143
10,Aston Villa,Newcastle,0,0.5,0.5,1,0.5,0.5,0,0.5,0.5,0,0.5,0.5,Aston Villa,0,1,0.5,0.5,0.5,0.5,0,0,1,2,0.333333333333333,0.666666666666667
11,Chelsea,Leicester,0.714285714,1,0.533333333,0.285714286,0,0.466666667,0.714285714,0.533333333,1,0.714285714,0.533333333,1,Chelsea,0.714285714,0.285,1,0,0.533333333,0.46,1,1,2.247619047,0.745,0.751054180869818,0.248945819130182
12,Crystal Palace,West Ham,0.333333333,0.25,0.4,0.666666667,0.75,0.6,0.666666667,0.6,0.75,0.666666667,0.6,0.75,West Ham,0.333333333,0.666666667,0.25,0.75,0.4,0.6,0,-1,0.983333333,2.016666667,0.327777777666667,0.672222222333333
13,Everton,Arsenal,0.4,0.5,0.5,0.6,0.5,0.5,0.6,0.5,0.5,0.6,0.5,0.5,Arsenal,0.4,0.6,0.5,0.5,0.5,0.5,0,0,1.4,1.6,0.466666666666667,0.533333333333333
14,Southampton,West Brom,0.5,0.5,0.166666667,0.5,0.5,0.833333333,0.5,0.833333333,0.5,0.5,0.833333333,0.5,West Brom,0.5,0.5,0.5,0.5,0.166666667,0.833333333,0,0,1.166666667,1.833333333,0.388888889,0.611111111
15,Swansea,Burnley,0.833333333,1,0.4,0.166666667,0,0.6,0.166666667,0.6,0,0.166666667,0.6,0,Burnley,0.833333333,0.166666667,1,0,0.4,0.6,1,1,2.233333333,0.766666667,0.744444444333333,0.255555555666667
16,Hull,Stoke,0.4,0.5,0.444444444,0.6,0.5,0.555555556,0.4,0.444444444,0.5,0.4,0.444444444,0.5,Hull,0.4,0.6,0.5,0.5,0.444444444,0.555555556,0,0,1.344444444,1.655555556,0.448148148,0.551851852
